dt,co,no2,o3,so2,pm2_5,pm10
2024-12-07 00:08:11.474895,1953.294,47.888344,9.030447,26.741081,52.87434,74.30806
2024-12-07 01:08:11.474895,2531.3792,53.86159,11.735219,31.49841,65.92774,97.487915
2024-12-07 02:08:11.474895,2804.4514,59.384422,15.03022,35.483936,71.190735,109.44206
2024-12-07 03:08:11.474895,2740.0303,64.59044,18.58462,38.153683,69.84821,110.42582
2024-12-07 04:08:11.474895,2413.7683,69.89863,23.091602,39.332485,64.19182,101.112564
2024-12-07 05:08:11.474895,2243.0168,71.590836,31.154066,39.752422,64.221245,96.07875
2024-12-07 06:08:11.474895,2118.4326,71.92208,41.478115,39.981052,66.96767,94.97859
2024-12-07 07:08:11.474895,2005.867,72.303085,52.262383,40.31441,69.95109,94.60358
2024-12-07 08:08:11.474895,1932.2286,73.05932,62.57654,40.868008,73.112885,95.58893
2024-12-07 09:08:11.474895,1901.9326,74.19709,71.79919,41.538006,76.532524,98.39222
2024-12-07 10:08:11.474895,1902.274,75.847984,79.74465,42.31704,80.44121,102.4956
2024-12-07 11:08:11.474895,1934.7073,78.15781,86.1142,43.33356,84.824684,107.64517
2024-12-07 12:08:11.474895,2000.9022,81.26362,90.256516,44.51663,89.7889,113.5325
2024-12-07 13:08:11.474895,2102.085,85.36502,91.10808,45.826958,95.13092,120.34963
2024-12-07 14:08:11.474895,2241.9756,90.70356,87.84253,47.282093,100.51956,128.01526
2024-12-07 15:08:11.474895,2431.104,97.584236,79.71698,48.9184,105.57998,136.3638
2024-12-07 16:08:11.474895,2673.7683,106.09676,66.6732,50.779305,110.383,145.78537
2024-12-07 17:08:11.474895,2942.318,115.35895,50.403214,52.560734,114.67158,155.5619
2024-12-07 18:08:11.474895,3284.5684,122.177826,36.17007,53.788628,122.42358,170.58649
2024-12-07 19:08:11.474895,3658.765,126.37736,25.361982,54.240425,133.19133,186.10628
2024-12-07 20:08:11.474895,3898.9375,128.65709,18.933268,54.308113,141.85826,198.1314
2024-12-07 21:08:11.474895,4003.9934,128.88177,15.786285,54.012436,147.64178,206.3451
2024-12-07 22:08:11.474895,3975.4836,127.3542,15.128675,53.37517,149.93306,210.18228
2024-12-07 23:08:11.474895,3839.095,124.75544,16.413849,52.48969,149.38235,210.07654
2024-12-08 00:08:11.474895,3662.4568,122.09157,19.060328,51.642582,148.45906,208.36252
2024-12-08 01:08:11.474895,3470.2617,119.87931,22.121061,51.02475,145.76427,204.39508
2024-12-08 02:08:11.474895,3276.5261,118.270424,26.135584,50.499912,140.10582,195.70311
2024-12-08 03:08:11.474895,3084.1428,116.80377,31.859068,49.684227,132.73903,180.86404
2024-12-08 04:08:11.474895,2816.0427,114.894646,41.60929,48.70586,123.88641,161.41365
2024-12-08 05:08:11.474895,2548.1755,110.04561,56.961864,47.34873,118.16358,147.15764
2024-12-08 06:08:11.474895,2298.2837,103.82587,75.78225,46.00554,115.224174,137.95499
2024-12-08 07:08:11.474895,2073.42,98.01491,95.6466,45.03245,114.07935,131.72183
2024-12-08 08:08:11.474895,1886.3584,92.98275,115.595856,44.508724,114.88508,128.82716
2024-12-08 09:08:11.474895,1753.0308,89.35117,134.02737,44.564793,118.27405,130.16959
2024-12-08 10:08:11.474895,1685.7682,87.94927,149.44429,45.27196,123.75535,135.01569
2024-12-08 11:08:11.474895,1694.6326,88.921814,160.09238,46.45089,130.58754,142.57513
2024-12-08 12:08:11.474895,1813.4802,93.20693,164.03854,48.237164,138.29543,152.83441
2024-12-08 13:08:11.474895,2051.843,101.21712,159.32736,50.62328,146.6302,166.09027
2024-12-08 14:08:11.474895,2442.732,113.89709,144.55016,53.79253,155.3722,182.86142
2024-12-08 15:08:11.474895,2973.3044,130.77576,119.61172,57.54697,164.36928,202.80048
2024-12-08 16:08:11.474895,3752.5383,151.46474,85.82892,61.084133,177.31177,220.16878
2024-12-08 17:08:11.474895,4733.847,169.8616,51.36446,63.69946,196.79688,243.5019
2024-12-08 18:08:11.474895,5560.1733,178.87177,33.517353,65.02093,222.87518,277.98038
2024-12-08 19:08:11.474895,5934.8315,181.23094,23.834404,64.907875,241.5931,303.01474
2024-12-08 20:08:11.474895,5894.6167,177.57224,18.533161,63.23724,250.7069,316.76315
2024-12-08 21:08:11.474895,5562.9253,169.73328,15.720816,60.49696,250.7628,319.67502
2024-12-08 22:08:11.474895,5068.001,159.72766,14.7245455,57.34714,243.74939,313.747
2024-12-08 23:08:11.474895,4516.2886,149.51929,15.220834,54.472603,231.82414,301.19135
